"fips","year","percent_unemployed"
4023,"2013",15.3
4023,"2014",12.9
4023,"2015",11.5
4025,"2007",3.7
4025,"2008",6.2
4025,"2009",10.5
4025,"2010",10.7
4025,"2011",9.9
4025,"2012",8.6
4025,"2013",7.7
4025,"2014",6.3
4025,"2015",5.6
4027,"2007",14.1
4027,"2008",18.4
4027,"2009",23.0
4027,"2010",25.1
4027,"2011",24.2
4027,"2012",23.9
4027,"2013",25.5
4027,"2014",22.9
4027,"2015",21.8
5000,"2007",5.3
5000,"2008",5.5
5000,"2009",7.8
5000,"2010",8.2
5000,"2011",8.3
5000,"2012",7.6
5000,"2013",7.3
5000,"2014",6.1
5000,"2015",5.2
5001,"2007",8.7
5001,"2008",9.8
5001,"2009",15.7
5001,"2010",18.6
5001,"2011",12.2
5001,"2012",8.8
5001,"2013",7.4
5001,"2014",5.4
5001,"2015",4.4
5003,"2007",8.1
5003,"2008",7.6
5003,"2009",10.5
5003,"2010",10.1
5003,"2011",11.2
5003,"2012",12.2
5003,"2013",11.0
5003,"2014",9.4
5003,"2015",8.0
5005,"2007",5.4
5005,"2008",6.0
5005,"2009",9.3
5005,"2010",9.4
5005,"2011",9.3
5005,"2012",8.4
5005,"2013",8.1
5005,"2014",6.8
5005,"2015",5.7
5007,"2007",3.7
5007,"2008",4.1
5007,"2009",6.4
5007,"2010",6.6
5007,"2011",6.5
5007,"2012",6.0
5007,"2013",5.7
5007,"2014",4.7
5007,"2015",3.9
5009,"2007",5.1
5009,"2008",5.5
5009,"2009",7.5
5009,"2010",7.8
5009,"2011",8.0
5009,"2012",7.6
5009,"2013",7.1
5009,"2014",6.1
5009,"2015",5.1
5011,"2007",6.1
5011,"2008",7.2
5011,"2009",9.8
5011,"2010",10.8
5011,"2011",12.5
5011,"2012",11.1
5011,"2013",9.9
5011,"2014",8.5
5011,"2015",6.2
5013,"2007",6.7
5013,"2008",6.2
5013,"2009",8.4
5013,"2010",8.8
5013,"2011",9.6
5013,"2012",9.1
5013,"2013",8.3
5013,"2014",6.7
5013,"2015",5.8
5015,"2007",4.3
5015,"2008",4.5
5015,"2009",6.1
5015,"2010",7.3
5015,"2011",7.2
5015,"2012",6.3
5015,"2013",6.1
5015,"2014",5.2
5015,"2015",4.8
5017,"2007",8.2
5017,"2008",8.3
5017,"2009",11.1
5017,"2010",12.3
5017,"2011",13.2
5017,"2012",11.4
5017,"2013",11.8
5017,"2014",10.6
5017,"2015",9.4
5019,"2007",5.6
5019,"2008",5.9
5019,"2009",8.1
5019,"2010",8.6
5019,"2011",10.4
5019,"2012",10.1
5019,"2013",9.1
5019,"2014",7.1
5019,"2015",5.7
5021,"2007",9.3
5021,"2008",8.1
5021,"2009",11.3
5021,"2010",11.0
5021,"2011",12.1
5021,"2012",11.0
5021,"2013",9.9
5021,"2014",7.9
5021,"2015",6.9
5023,"2007",6.1
5023,"2008",5.6
5023,"2009",7.5
5023,"2010",8.6
5023,"2011",9.2
5023,"2012",8.5
5023,"2013",8.6
5023,"2014",8.4
5023,"2015",7.2
5025,"2007",5.7
5025,"2008",5.9
5025,"2009",8.1
5025,"2010",8.4
5025,"2011",8.5
5025,"2012",7.4
5025,"2013",7.7
5025,"2014",6.9
5025,"2015",5.8
5027,"2007",6.5
5027,"2008",7.0
5027,"2009",9.7
5027,"2010",10.0
5027,"2011",10.0
5027,"2012",9.0
5027,"2013",8.9
5027,"2014",7.2
5027,"2015",6.8
5029,"2007",4.9
5029,"2008",5.5
5029,"2009",7.5
5029,"2010",9.7
5029,"2011",9.9
5029,"2012",9.2
5029,"2013",9.3
5029,"2014",7.2
5029,"2015",6.3
5031,"2007",5.0
5031,"2008",4.9
5031,"2009",7.0
5031,"2010",7.4
5031,"2011",7.4
5031,"2012",6.9
5031,"2013",6.6
5031,"2014",5.5
5031,"2015",4.6
5033,"2007",4.9
5033,"2008",4.9
5033,"2009",7.8
5033,"2010",8.2
5033,"2011",8.9
5033,"2012",8.0
5033,"2013",7.7
5033,"2014",6.1
5033,"2015",5.4
5035,"2007",6.5
5035,"2008",7.9
5035,"2009",10.9
5035,"2010",10.5
5035,"2011",10.9
5035,"2012",9.6
5035,"2013",8.5
5035,"2014",7.5
5035,"2015",6.4
5037,"2007",7.4
5037,"2008",6.8
5037,"2009",8.4
5037,"2010",8.3
5037,"2011",8.4
5037,"2012",7.9
5037,"2013",7.7
5037,"2014",6.4
5037,"2015",5.6
5039,"2007",7.0
5039,"2008",7.2
5039,"2009",10.2
5039,"2010",12.3
5039,"2011",12.5
5039,"2012",11.5
5039,"2013",11.0
5039,"2014",9.4
5039,"2015",7.4
5041,"2007",9.9
5041,"2008",8.8
5041,"2009",11.3
5041,"2010",11.1
5041,"2011",11.2
5041,"2012",9.9
5041,"2013",9.8
5041,"2014",8.2
5041,"2015",7.6
5043,"2007",7.4
5043,"2008",7.9
5043,"2009",11.0
5043,"2010",10.9
5043,"2011",11.6
5043,"2012",10.7
5043,"2013",9.9
